MO#,M#,Type,Con,Mag,RA,Dec,PSA Page No,Num
16,M1,Supernova Rem,Tau,8.4,05 34.5,+22 01,14,1
107,M2,Globular Clust,Aqr,6.5,21 33.5,-00 49,"75, 77",2
48,M3,Globular Clust,CVn,6.2,13 42.2,+28 23,"43, 44",3
82,M4,Globular Clust,Sco,5.6,16 23.6,-26 32,"56, 58",4
68,M5,Globular Clust,Ser,5.6,15 18.6,+02 05,"55, 57",5
86,M6,Open Cluster,Sco,5.3,17 40.1,-32 13,"56, 58, 67, 69, J",6
87,M7,Open Cluster,Sco,4.1,17 53.9,-34 49,"58, 67, 69, J",7
98,M8,Diffuse Neb,Sgr,6.0,18 03.8,-24 23,"67, 69, I",8
81,M9,Globular Clust,Oph,7.7,17 19.2,-18 31,56,9
79,M10,Globular Clust,Oph,6.6,16 57.1,-04 06,"54, 56",10
88,M11,Open Cluster,Sct,6.3,18 51.1,-06 16,"65, 67",11
78,M12,Globular Clust,Oph,6.7,16 47.2,-01 57,"54, 56",12
69,M13,Globular Clust,Her,5.8,16 41.7,+36 28,52,13
80,M14,Globular Clust,Oph,7.6,17 37.6,-03 15,"54, 56, 67",14
106,M15,Globular Clust,Peg,6.2,21 30.0,+12 10,75,15
90,M16,Open Cluster,Ser,6.4,18 18.8,-13 47,"67, I",16
91,M17,Diffuse Neb,Sgr,7.0,18 20.8,-16 11,"67, I",17
92,M18,Open Cluster,Sgr,7.5,18 19.9,-17 08,67,18
84,M19,Globular Clust,Oph,6.8,17 02.6,-26 16,"56, 58",19
97,M20,Diffuse Neb,Sgr,9.0,18 02.6,-23 02,"67, 69, I",20
96,M21,Open Cluster,Sgr,6.5,18 04.6,-22 30,"67, 69, I",21
100,M22,Globular Clust,Sgr,5.1,18 36.4,-23 54,"67, 69, I",22
95,M23,Open Cluster,Sgr,6.9,17 56.8,-19 01,"67, I",23
93,M24,Star Cloud,Sgr,4.6,18 16.9,-18 29,"67, I",24
